;Study_ID;Publishing_year;Sweet/sour;Bombus;Amegilla;Agapostemon;Andrena;Anthidium;Anthophora;Augochlora;Augochlorella;Ceratina;Colletes;Habropoda;Lasioglossum;Nomada;Eucera;Halictus;Heriades;Megachile;Osmia;Sphecodes;Rhodanthidium;Xylocopa
1;Holzschuh et al. 2012;2012;Sweet;0.0625;0;0;0.9375;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;Pisman et al. 2022;2022;Sweet;0.213815789;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;Hamroud et al. 2022;2022;Sweet;0.272177419;0;0;0.191532258;0;0.02016129;0;0;0;0;0;0.151209677;0.001008065;0.050403226;0.003024194;0.001008065;0.006048387;0.221774194;0;0.001008065;0.080645161
4;Eeraerts 2022;2022;Sweet;0.148911798;0;0;0.18327606;0;0.003436426;0;0;0;0;0;0.008018328;0;0;0.003436426;0;0;0.652920962;0;0;0
5;Mateos?Fierro et al. 2022 ;2022;Sweet;0.752688172;0;0;0.23655914;0;0.004301075;0;0;0;0;0;0.002150538;0.004301075;0;0;0;0;0;0;0;0
6;Ryder et al. 2019;2019;Sweet;0.176470588;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7;Reilly et al., 2020 (sweet);2020;Sweet;0.980079681;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
8;Reilly et al., 2020 (sour);2020;Sour;0.057831325;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9;Eeraerts et al. 2019;2019;Sweet;0.701863354;0;0;0.223602484;0;0;0;0;0;0;0;0.01863354;0.00621118;0;0;0;0;0.049689441;0;0;0
10;Eeraerts et al. 2017;2017;Sweet;0.640167364;0;0;0.276150628;0;0.012552301;0;0;0;0;0;0;0;0;0;0;0;0.071129707;0;0;0
11;Wood et al. 2018_net;2018;Sour;0.014014014;0;0.01001001;0.670670671;0;0;0.01001001;0.001001001;0.138138138;0.048048048;0;0.075075075;0.002002002;0;0.011011011;0;0;0.009009009;0.001001001;0;0.01001001
12;Wood et al. 2018_observational;2018;Sour;0.047151277;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
13;Gibbs et al., 2017_Michigan;2017;Sour;0.018;0;0.013;0.682;0;0;0.009;0.002;0.127;0.039;0;0.083;0.002;0;0.012;0;0;0.008;0.001;0;0.004
14;Gibbs et al., 2017_Pennsylvania;2017;Sour;0.083083083;0;0;0.731731732;0;0;0.018018018;0;0.019019019;0;0.009009009;0.009009009;0;0;0;0;0;0.037037037;0;0;0.093093093
15;Mateos?Fierro et al. 2023;2023;Sweet;0.958605664;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
16;Osterman et al. 2023;2023;Sweet;0.122047244;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.614173228;NA;NA;NA
17;Dar_etal_2018;2018;Sweet;0;0.021;0;0.124;0.016;0;0;0;0;0;0;0.654;0;0;0.066;0;0.025;0;0.045;0;0.046
