Study;Year;Country;Study_ID;Nest_type;Hives;Crop
Blanco et al.;2019;Chile;1;Bumblebee box;10;Sweet
Bosch et al.;2006;USA;2;Honeybee hive;6;Sweet
Boyle & Pitts-Singer;2017;USA;3;Honeybee hive;2.5;Sour
Boyle & Pitts-Singer;2019;USA;4;Honeybee hive;2.5;Sour
Eeraerts et al.; 2020a;Belgium;5;Honeybee hive;4;Sweet
Eeraerts et al.; 2020a;Belgium;5;Bumblebee box;2;Sweet
Gilpin et al.; 2022a;Australia;6;Honeybee hive;3;Sweet
Kuivila et al.;2021;USA;7;Bumblebee box;1.8;Sweet
Mateos?Fierro et al.;2022;UK;8;Honeybee hive;2.4;Sweet
Mateos?Fierro et al.;2022;UK;8;Bumblebee box;6.5;Sweet
Mateos?Fierro et al.;2023;UK;9;Honeybee hive;2.4;Sweet
Mateos?Fierro et al.;2023;UK;9;Bumblebee box;6.5;Sweet
Osterman et al.;2023;Germany;10;Honeybee hive;6;Sweet
Sergeevna et al.;2018;Ukraine;11;Bumblebee box;13.5;Sweet
