study;year;crop;cultivar;poll_service
Holzschuh (2012);2008;Sweet cherry;several;83.0795262267343
Moghadam (2009);2003;Sweet cherry;Siah Mashhad;100
Moghadam (2009);2003;Sweet cherry;Napelon;100
Moghadam (2009);2003;Sweet cherry;Peshras Mashhad;100
Moghadam (2009);2003;Sweet cherry;Zarde Daneshkadeh;100
Moghadam (2009);2003;Sweet cherry;Proteva;100
Moghadam (2009);2003;Sweet cherry;Dovoumras Mashhad;100
Moghadam (2009);2003;Sweet cherry;Dirras Italia;100
Moghadam (2009);2003;Sweet cherry;Bing;100
Moghadam (2009);2003;Sweet cherry;Sheshiy Mashhad;100
Moghadam (2009);2003;Sweet cherry;Hag Yusefy;100
Moghadam (2009);2003;Sweet cherry;Siah Ghazvin;100
Moghadam (2009);2003;Sweet cherry;Moreau;100
Moghadam (2009);2003;Sweet cherry;Ferracida;100
Moghadam (2009);2003;Sweet cherry;Lambert;100
Moghadam (2009);2003;Sweet cherry;Roshun;100
Moghadam (2009);2003;Sweet cherry;No. 1 karaj;100
Moghadam (2009);2003;Sweet cherry;Sefide Gh. Bagheno;100
Moghadam (2009);2003;Sweet cherry;Arak;100
Moghadam (2009);2003;Sweet cherry;Belamarka;100
Moghadam (2009);2003;Sweet cherry;Siah Shabestar;100
Moghadam (2009);2003;Sweet cherry;Ghermeze Rezaeyeh;100
Moghadam (2009);2003;Sweet cherry;Sefide Rezaeyeh;100
Moghadam (2009);2003;Sweet cherry;Abardeh;100
Moghadam (2009);2003;Sweet cherry;Soraty Lavisan;100
Moghadam (2009);2003;Sweet cherry;Victoria;100
Ansari (2010);2005;Sour cherry;Érdi bõtermõ;66.6666666666667
Ansari (2010);2005;Sour cherry;Cigány meggy;64.6153846153846
Ansari (2010);2005;Sour cherry;Érdi jubileum;75.5555555555556
Ansari (2010);2006;Sour cherry;Érdi bõtermõ;71.1538461538462
Ansari (2010);2006;Sour cherry;Cigány meggy;63.5245901639344
Ansari (2010);2006;Sour cherry;Érdi jubileum;69.8717948717949
Hansted (2015);2009;Sour cherry;Stevnsbaer;27.4350649350649
Hansted (2015);2010;Sour cherry;Stevnsbaer;89.045
Osterman (2023);2020;Sweet cherry;Regina;100
Osterman (2023);2020;Sweet cherry;Regina;95.1567236018997
Osterman (2023);2020;Sweet cherry;Regina;68.7944230471572
Osterman (2023);2020;Sweet cherry;Regina;99.0555931584832
Osterman (2023);2020;Sweet cherry;Regina;100
Osterman (2023);2020;Sweet cherry;Regina;100
Osterman (2023);2020;Sweet cherry;Regina;96.2905470499738
Osterman (2023);2020;Sweet cherry;Regina;92.5615807945965
Osterman (2023);2020;Sweet cherry;Regina;88.744813124579
Osterman (2023);2020;Sweet cherry;Regina;97.1742147054185
Osterman (2023);2020;Sweet cherry;Regina;100
Osterman (2023);2020;Sweet cherry;Regina;95.3232915115176
Osterman (2023);2020;Sweet cherry;Regina;96.4367061189489
Osterman (2023);2020;Sweet cherry;Regina;54.8277202880439
Osterman (2023);2020;Sweet cherry;Regina;98.6203062530236
Osterman (2023);2020;Sweet cherry;Regina;100
Osterman (2023);2020;Sweet cherry;Regina;91.600308971596
Mateos-Fierro (2023);2019;Sweet cherry;Kordia;80.16007833875
Mateos-Fierro (2023);2019;Sweet cherry;Kordia;100
Mateos-Fierro (2023);2019;Sweet cherry;Kordia;94.65800629125
Mateos-Fierro (2023);2019;Sweet cherry;Kordia;94.52687518375
Mateos-Fierro (2023);2019;Sweet cherry;Kordia;98.08108558125
