long;lat;region
132.725171;-22.163712;Australia
4.448804;50.94686;Belgium
-105.370532;56.91097;Canada
8.254882;46.965676;Switzerland
104.51228;33.52609;China
10.364257;50.847958;Germany
9.419433;56.487099;Denmark
-4.225587;40.330261;Spain
-1.940431;52.335712;UK
15.518317;44.576908;Croatia
18.77027;47.057154;Hungary
78.145093;21.231309;India
53.18798828;33.92114258;Iran
35.78730392;32.73491287;Israel
137.8886795;35.28012657;Japan
128.3269577;37.22363281;South Korea
171.1782227;-43.49726486;New Zealand
19.60231;52.202673;Poland
24.593024;46.060022;Romania
20.703864;44.388789;Serbia
35.117927;39.455427;Turkey
30.26197;49.626847;Ukraine
-102.5813446;43.01201057;USA
63.77968597;40.9502449;Uzbekistan
-72.083678;-36.830127;Chile
-5.4717;32.491745;Morocco
