Domain Code;Domain;Area Code (M49);Area;Element Code;Element;Item Code (CPC);Item;Year Code;Year;Unit;Value;Flag;Flag Description;Note
QCL;Crops and livestock products;8;Albania;5510;Production;1344.02;Cherries;2021;2021;t;39580;A;Official figure;
QCL;Crops and livestock products;12;Algeria;5510;Production;1344.02;Cherries;2021;2021;t;11178;A;Official figure;
QCL;Crops and livestock products;32;Argentina;5510;Production;1344.02;Cherries;2021;2021;t;7400;I;Imputed value;
QCL;Crops and livestock products;51;Armenia;5510;Production;1344.02;Cherries;2021;2021;t;14769;I;Imputed value;
QCL;Crops and livestock products;36;Australia;5510;Production;1344.02;Cherries;2021;2021;t;21310;A;Official figure;
QCL;Crops and livestock products;40;Austria;5510;Production;1344.02;Cherries;2021;2021;t;6840;A;Official figure;
QCL;Crops and livestock products;31;Azerbaijan;5510;Production;1344.02;Cherries;2021;2021;t;55526;A;Official figure;
QCL;Crops and livestock products;112;Belarus;5510;Production;1344.02;Cherries;2021;2021;t;45992;E;Estimated value;
QCL;Crops and livestock products;56;Belgium;5510;Production;1344.02;Cherries;2021;2021;t;3390;A;Official figure;
QCL;Crops and livestock products;68;Bolivia;5510;Production;1344.02;Cherries;2021;2021;t;947;E;Estimated value;
QCL;Crops and livestock products;70;Bosnia and Herzegovina;5510;Production;1344.02;Cherries;2021;2021;t;14548;A;Official figure;
QCL;Crops and livestock products;100;Bulgaria;5510;Production;1344.02;Cherries;2021;2021;t;57030;A;Official figure;
QCL;Crops and livestock products;124;Canada;5510;Production;1344.02;Cherries;2021;2021;t;19946;A;Official figure;
QCL;Crops and livestock products;152;Chile;5510;Production;1344.02;Cherries;2021;2021;t;325349;I;Imputed value;
QCL;Crops and livestock products;159;China;5510;Production;1344.02;Cherries;2021;2021;t;35746;E;Estimated value;
QCL;Crops and livestock products;191;Croatia;5510;Production;1344.02;Cherries;2021;2021;t;6160;A;Official figure;
QCL;Crops and livestock products;203;Czech Republic;5510;Production;1344.02;Cherries;2021;2021;t;6330;A;Official figure;
QCL;Crops and livestock products;208;Denmark;5510;Production;1344.02;Cherries;2021;2021;t;1950;A;Official figure;
QCL;Crops and livestock products;233;Estonia;5510;Production;1344.02;Cherries;2021;2021;t;0;A;Official figure;
QCL;Crops and livestock products;246;Finland;5510;Production;1344.02;Cherries;2021;2021;t;0;A;Official figure;
QCL;Crops and livestock products;250;France;5510;Production;1344.02;Cherries;2021;2021;t;13180;A;Official figure;
QCL;Crops and livestock products;268;Georgia;5510;Production;1344.02;Cherries;2021;2021;t;6900;A;Official figure;
